AdvisoryNumber,Date,Lat,Long,Wind,Pres,Movement,stormtypeName,Name,Received,Forecaster
23,"1907-06-30 00:00:00",36.5,-76,50,0,"35 at 33mph","Extratropical Storm",Unnamed,"1907-06-30 00:00:00",Unknown
24,"1907-06-30 06:00:00",39.2,-73.3,45,0,"40 at 39mph","Extratropical Storm",Unnamed,"1907-06-30 06:00:00",Unknown
25,"1907-06-30 12:00:00",42,-70.5,40,0,"35 at 40mph","Extratropical Storm",Unnamed,"1907-06-30 12:00:00",Unknown
26,"1907-06-30 18:00:00",45,-67.5,35,0,"35 at 42mph","Extratropical Storm",Unnamed,"1907-06-30 18:00:00",Unknown
1,"1908-03-06 12:00:00",23.8,-60.2,60,0,"0 at 0mph","Tropical Storm",Unnamed,"1908-03-06 12:00:00",Unknown
2,"1908-03-06 18:00:00",22.7,-60.7,65,0,"205 at 12mph","Tropical Storm",Unnamed,"1908-03-06 18:00:00",Unknown
3,"1908-03-07 00:00:00",21.6,-61.1,75,0,"200 at 12mph",Hurricane,Unnamed,"1908-03-07 00:00:00",Unknown
4,"1908-03-07 06:00:00",20.6,-61.5,80,0,"200 at 11mph",Hurricane,Unnamed,"1908-03-07 06:00:00",Unknown
5,"1908-03-07 12:00:00",19.7,-61.9,90,0,"205 at 10mph",Hurricane,Unnamed,"1908-03-07 12:00:00",Unknown
6,"1908-03-07 18:00:00",18.8,-62.2,100,0,"195 at 10mph",Hurricane,Unnamed,"1908-03-07 18:00:00",Unknown
7,"1908-03-08 00:00:00",18,-62.5,100,0,"200 at 9mph",Hurricane,Unnamed,"1908-03-08 00:00:00",Unknown
8,"1908-03-08 06:00:00",17.3,-62.8,80,0,"200 at 8mph",Hurricane,Unnamed,"1908-03-08 06:00:00",Unknown
9,"1908-03-08 12:00:00",16.6,-63.1,75,0,"200 at 8mph",Hurricane,Unnamed,"1908-03-08 12:00:00",Unknown
10,"1908-03-08 18:00:00",16,-63.4,75,0,"205 at 6mph",Hurricane,Unnamed,"1908-03-08 18:00:00",Unknown
11,"1908-03-09 00:00:00",15.4,-63.7,75,0,"205 at 6mph",Hurricane,Unnamed,"1908-03-09 00:00:00",Unknown
12,"1908-03-09 06:00:00",14.9,-64,60,0,"210 at 5mph","Tropical Storm",Unnamed,"1908-03-09 06:00:00",Unknown
13,"1908-03-09 12:00:00",14.4,-64.2,45,0,"200 at 5mph","Tropical Storm",Unnamed,"1908-03-09 12:00:00",Unknown
14,"1908-03-09 18:00:00",13.8,-64.6,40,0,"215 at 8mph","Tropical Storm",Unnamed,"1908-03-09 18:00:00",Unknown
1,"1909-06-15 00:00:00",10.6,-82.5,35,0,"0 at 0mph","Tropical Depression",Unnamed,"1909-06-15 00:00:00",Unknown
2,"1909-06-15 06:00:00",10.8,-82.5,35,0,"0 at 1mph","Tropical Depression",Unnamed,"1909-06-15 06:00:00",Unknown
3,"1909-06-15 12:00:00",11,-82.5,40,0,"0 at 1mph","Tropical Storm",Unnamed,"1909-06-15 12:00:00",Unknown
4,"1909-06-15 18:00:00",11.2,-82.5,40,0,"0 at 1mph","Tropical Storm",Unnamed,"1909-06-15 18:00:00",Unknown
5,"1909-06-16 00:00:00",11.5,-82.5,45,0,"0 at 3mph","Tropical Storm",Unnamed,"1909-06-16 00:00:00",Unknown
6,"1909-06-16 06:00:00",11.7,-82.5,45,0,"0 at 1mph","Tropical Storm",Unnamed,"1909-06-16 06:00:00",Unknown
7,"1909-06-16 12:00:00",12,-82.5,45,0,"0 at 3mph","Tropical Storm",Unnamed,"1909-06-16 12:00:00",Unknown
8,"1909-06-16 18:00:00",12.2,-82.5,45,0,"0 at 1mph","Tropical Storm",Unnamed,"1909-06-16 18:00:00",Unknown
9,"1909-06-17 00:00:00",12.4,-82.5,45,0,"0 at 1mph","Tropical Storm",Unnamed,"1909-06-17 00:00:00",Unknown
10,"1909-06-17 06:00:00",12.6,-82.5,45,0,"0 at 2mph","Tropical Storm",Unnamed,"1909-06-17 06:00:00",Unknown
11,"1909-06-17 12:00:00",12.8,-82.5,45,0,"0 at 1mph","Tropical Storm",Unnamed,"1909-06-17 12:00:00",Unknown
12,"1909-06-17 18:00:00",13,-82.5,45,0,"0 at 1mph","Tropical Storm",Unnamed,"1909-06-17 18:00:00",Unknown
13,"1909-06-18 00:00:00",13.2,-82.6,45,0,"335 at 2mph","Tropical Storm",Unnamed,"1909-06-18 00:00:00",Unknown
14,"1909-06-18 06:00:00",13.4,-82.7,45,0,"335 at 2mph","Tropical Storm",Unnamed,"1909-06-18 06:00:00",Unknown
15,"1909-06-18 12:00:00",13.5,-82.8,45,0,"315 at 1mph","Tropical Storm",Unnamed,"1909-06-18 12:00:00",Unknown
16,"1909-06-18 18:00:00",13.7,-83,45,0,"315 at 2mph","Tropical Storm",Unnamed,"1909-06-18 18:00:00",Unknown
17,"1909-06-19 00:00:00",13.8,-83.3,45,0,"290 at 3mph","Tropical Storm",Unnamed,"1909-06-19 00:00:00",Unknown
18,"1909-06-19 06:00:00",13.9,-83.6,40,0,"290 at 3mph","Tropical Storm",Unnamed,"1909-06-19 06:00:00",Unknown
19,"1909-06-19 12:00:00",14,-84,35,0,"285 at 4mph","Tropical Depression",Unnamed,"1909-06-19 12:00:00",Unknown
20,"1909-06-19 18:00:00",14,-84.5,30,0,"270 at 4mph","Tropical Depression",Unnamed,"1909-06-19 18:00:00",Unknown
1,"1910-08-23 06:00:00",15,-62,40,0,"0 at 0mph","Tropical Storm",Unnamed,"1910-08-23 06:00:00",Unknown
2,"1910-08-23 12:00:00",15.5,-63.7,40,0,"285 at 19mph","Tropical Storm",Unnamed,"1910-08-23 12:00:00",Unknown
3,"1910-08-23 18:00:00",15.9,-65.4,40,0,"285 at 18mph","Tropical Storm",Unnamed,"1910-08-23 18:00:00",Unknown
4,"1910-08-24 00:00:00",16.5,-67.3,40,0,"290 at 21mph","Tropical Storm",Unnamed,"1910-08-24 00:00:00",Unknown
5,"1910-08-24 06:00:00",17.2,-69.5,40,0,"290 at 25mph","Tropical Storm",Unnamed,"1910-08-24 06:00:00",Unknown
6,"1910-08-24 12:00:00",18,-71.5,40,0,"295 at 23mph","Tropical Storm",Unnamed,"1910-08-24 12:00:00",Unknown
7,"1910-08-24 18:00:00",18.7,-72.8,35,0,"300 at 16mph","Tropical Depression",Unnamed,"1910-08-24 18:00:00",Unknown
8,"1910-08-25 00:00:00",19.4,-74,35,0,"300 at 14mph","Tropical Depression",Unnamed,"1910-08-25 00:00:00",Unknown
9,"1910-08-25 06:00:00",20.3,-75.4,35,0,"305 at 17mph","Tropical Depression",Unnamed,"1910-08-25 06:00:00",Unknown
10,"1910-08-25 12:00:00",21.3,-76.7,35,0,"310 at 17mph","Tropical Depression",Unnamed,"1910-08-25 12:00:00",Unknown
11,"1910-08-25 18:00:00",22.5,-77.5,35,0,"330 at 16mph","Tropical Depression",Unnamed,"1910-08-25 18:00:00",Unknown
12,"1910-08-26 00:00:00",23.9,-78.1,35,0,"340 at 17mph","Tropical Depression",Unnamed,"1910-08-26 00:00:00",Unknown
13,"1910-08-26 06:00:00",25.6,-78.7,35,0,"340 at 19mph","Tropical Depression",Unnamed,"1910-08-26 06:00:00",Unknown
14,"1910-08-26 12:00:00",27.5,-79,35,0,"350 at 21mph","Tropical Depression",Unnamed,"1910-08-26 12:00:00",Unknown
15,"1910-08-26 18:00:00",28.4,-79,35,0,"0 at 9mph","Tropical Depression",Unnamed,"1910-08-26 18:00:00",Unknown
16,"1910-08-27 00:00:00",29.6,-79,40,0,"0 at 13mph","Extratropical Storm",Unnamed,"1910-08-27 00:00:00",Unknown
17,"1910-08-27 06:00:00",30.7,-79,40,0,"0 at 12mph","Extratropical Storm",Unnamed,"1910-08-27 06:00:00",Unknown
18,"1910-08-27 12:00:00",31.7,-78.7,40,0,"15 at 11mph","Extratropical Storm",Unnamed,"1910-08-27 12:00:00",Unknown
19,"1910-08-27 18:00:00",32.3,-78.4,40,0,"25 at 6mph","Extratropical Storm",Unnamed,"1910-08-27 18:00:00",Unknown
20,"1910-08-28 00:00:00",32.9,-78,45,0,"30 at 6mph","Extratropical Storm",Unnamed,"1910-08-28 00:00:00",Unknown
21,"1910-08-28 06:00:00",33.5,-77.6,45,0,"30 at 6mph","Extratropical Storm",Unnamed,"1910-08-28 06:00:00",Unknown
22,"1910-08-28 12:00:00",34,-77,45,0,"45 at 8mph","Extratropical Storm",Unnamed,"1910-08-28 12:00:00",Unknown
23,"1910-08-28 18:00:00",34.9,-76.1,45,0,"40 at 12mph","Extratropical Storm",Unnamed,"1910-08-28 18:00:00",Unknown
24,"1910-08-29 00:00:00",35.6,-75.4,40,0,"40 at 10mph","Extratropical Storm",Unnamed,"1910-08-29 00:00:00",Unknown
25,"1910-08-29 06:00:00",36.3,-74.7,40,0,"40 at 10mph","Extratropical Storm",Unnamed,"1910-08-29 06:00:00",Unknown
26,"1910-08-29 12:00:00",37,-74,35,0,"40 at 9mph","Extratropical Storm",Unnamed,"1910-08-29 12:00:00",Unknown
